Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Grand Total
Randall Cobb,0,0,2.2,2.8,0,2,0,0,0,0,0,0,0,8.5,0,0,0,1.4,16.9
Rashee Rice,11.6,4,10.9,6.2,13.3,11.2,17,9.6,9.7,0,8.2,24.7,14.4,18.2,24.1,11.7,17.7,0,212.5
Rashid Shaheed,19,10.3,0,6.3,4.8,18.3,7.2,24.3,5.2,7.4,0,2.9,0,0,6.6,18.4,3.4,15.5,149.6
Rashod Bateman,6.5,4.8,1.6,0,1.8,3.5,5.6,7.2,5.8,4.5,8,4.1,0,4.4,6.9,2.4,9.4,0,76.5
Ray-Ray McCloud III,0,0,0,4.2,1.1,3.7,4,6.3,0,0,0,3.3,0,0,0,0,0,5.9,28.5
Richie James,1.6,0,0,0,0,0,0,0,0,0,0,0,2.2,1.4,2.7,8.4,1.6,3.5,21.4
River Cracraft,13,5.4,2.3,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,2.8,27.1
Robbie Chosen,0,0,13.8,0,0,0,0,0,0,0,5.9,0,0,0,0,2.9,0,0,22.6
Robert Woods,11.7,13.4,6.4,5.6,6,7.6,0,0,0,2.5,9.4,6,0,0.8,6,4.1,9.8,0,89.3
Romeo Doubs,18.6,5,18.3,18.5,1.4,0,11,11.8,6.6,12.1,16.3,6.7,11.2,7.2,6,17.9,5.8,0,174.4
Rondale Moore,7.5,2.4,16.2,0,10.6,6.6,4.6,4.1,1.8,9.3,12.4,5.5,1.6,0,2.8,5.6,6.4,7.6,105
Ronnie Bell,0,0,10.4,1.7,0,0,0,0,0,3,0,0,0,0,0,8.2,0,7.5,30.8
Ryan Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samori Toure,3.8,1.6,2,4.5,0,0,1.3,0,0,0,0,0,0,4.2,0,0,0.4,0,17.8
Scotty Miller,0,0,0,0,3,1.4,5.6,9.4,0,7.2,0,1.4,0,0,0,2.5,0,8.6,39.1
Shedrick Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simi Fehoko,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,7.9
Skyy Moore,0.4,16,8.2,1.9,3.1,4.2,3.5,1.8,5.3,0,1.4,6.4,1.5,0,0,0,0,0,53.7
Stanley Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,26.2,13.6,19.1,36,24.1,20,17.8,16,22.6,6.4,6.7,19.4,0,6.4,8.8,7.9,7.1,15.7,273.8
Sterling Shepard,0,1.4,0,1.6,2.3,0,0,0,0,7.2,1.5,1.6,0,0,0,0,0,5.4,21
Steven Sims,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,1.1,0,0,0,5.6
Tank Dell,6.4,20.2,25.5,3.9,8.3,0,0,6.1,29.6,18.9,28.9,17.2,0,0,0,0,0,0,165
Tay Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tee Higgins,0,28.9,4.1,3.9,0,4,0,11.9,19,0,0,0,6.6,9.2,22.1,25,2.9,0,137.6
Terrace Marshall Jr.,4.3,0,8.5,14.6,0,0,0,1.9,0,2.1,0,0,0,0,0,0,0,1.5,32.9
Terry McLaurin,5.1,16.4,10.1,22.6,8.9,14.1,15,17.3,12.3,7.3,9.3,9,0,0,26.1,8,16.1,11.6,209.2
Tim Jones,0,0,3.1,0.9,0,0,3.7,0,0,3.7,0,0,0,0,0,6.2,0,1.7,19.3
Tre Tucker,0,3.4,0,0,1.6,8.1,3.8,0,7.6,0.9,5,0,0,0,20.7,1.1,5.6,14,71.8
Trent Sherfield,0,0,3.8,3.8,1.3,0,1.5,0,1.9,0,0,0,0,1.9,0,0,0,11.4,25.6
Trent Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trenton Irwin,0,0,0,2.7,14,0,0,4.4,0,13.4,6.6,3.5,3.5,0,0,7.7,1.4,5.4,62.6
